"";"Trienio";"Nome_Microrregiao";"COD_Microrregiao_Geografica";"Categoria 1 ou Adequada (C1)";"Categoria 2 ou Intermediária (C2)";"Categoria 3 ou Inadequada (C3)";"Indice_Adequacao"
"106";"2003_2005";"Ouro_Preto";"31033";0;0,628433143377058;0,371566856622942;-5,73502849344126
"107";"2003_2005";"Para_de_Minas";"31029";0;0,959927595031521;0,0400724049684789;43,9891392547282
"108";"2003_2005";"Paracatu";"31002";0,144818155463541;0,838775632996209;0,0164062115402498;54,7799760421396
"109";"2003_2005";"Passos";"31047";0,0832966759043388;0,892080529040015;0,024622795055646;50,47141453687
"110";"2003_2005";"Patos_de_Minas";"31020";0,620622954968635;0,379377045031365;0;81,0311477484318
"111";"2003_2005";"Patrocinio";"31019";0,635048619469237;0,364951380530763;0;81,7524309734619
"112";"2003_2005";"Pecanha";"31036";0,185252501726045;0,647865942420789;0,166881555853166;34,2303917083274
"113";"2003_2005";"Pedra_Azul";"31013";0;0,910342989716579;0,0896570102834211;36,5514484574868
"114";"2003_2005";"Pirapora";"31006";0;0,931193401878013;0,0688065981219872;39,6790102817019
"115";"2003_2005";"Piui";"31042";0;0,956260595785905;0,0437394042140954;43,4390893678857
"116";"2003_2005";"Pocos_de_Caldas";"31051";0;1;0;50
"117";"2003_2005";"Ponte_Nova";"31060";0,0851045551367819;0,914895444863218;0;54,2552277568391
"118";"2003_2005";"Pouso_Alegre";"31052";0,142323810353495;0,714428575836278;0,143247613810226;35,6290484461408
"119";"2003_2005";"Salinas";"31005";0,0256707375531907;0,853152171508219;0,12117709093859;33,106973236871
"120";"2003_2005";"Santa_Rita_do_Sapucai";"31053";0,221084700543777;0,626139180227122;0,1527761192291;38,1378171428239
"121";"2003_2005";"Sao_Joao_Del_Rei";"31058";0,564806174968429;0,405395513849826;0,0297983111817441;73,7705620711598
"122";"2003_2005";"Sao_Lourenco";"31054";0,657616223823922;0,342383776176078;0;82,8808111911961
"123";"2003_2005";"Sao_Sebastiao_do_Paraiso";"31048";0,252976828056657;0,747023171943343;0;62,6488414028329
"124";"2003_2005";"Sete_Lagoas";"31027";0;0,943589340544905;0,0564106594550953;41,5384010817357
"125";"2003_2005";"Teofilo_Otoni";"31015";0,178640334147388;0,791567811565691;0,0297918542869217;54,4632385643311
"126";"2003_2005";"Tres_Marias";"31024";0;1;0;50
"127";"2003_2005";"Uba";"31064";0,412037609425274;0,587962390574726;0;70,6018804712637
"128";"2003_2005";"Uberaba";"31022";0,196581705251881;0,803418294748119;0;59,8290852625941
