Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
311840,1570,1601,1713,1916,1816,1674,1590,1571,1551,1510,1381,1238,1069,847,657,493,608
311850,103,105,120,139,140,116,106,125,111,134,127,111,87,87,61,52,54
311860,40510,41127,46008,53663,53857,57091,59328,55584,47346,43256,38371,33578,25642,18452,12380,8395,8376
311870,556,560,683,785,753,698,655,609,640,604,635,575,477,347,236,230,245
311880,2043,1971,1962,2253,2431,2213,2104,1873,1636,1698,1534,1245,1037,855,678,487,543
311890,471,483,546,616,741,725,669,662,610,635,571,532,471,352,293,231,255
311900,258,255,263,301,290,249,263,222,245,230,222,197,162,135,97,64,68
311910,1556,1594,1791,1955,1912,1795,1789,1660,1567,1560,1601,1421,1169,826,650,533,619
311920,617,611,775,919,887,783,767,675,691,618,579,574,436,339,347,260,314
311930,1624,1628,1850,2156,2172,2085,2108,2060,2134,2191,1973,1675,1412,1057,787,536,560
311940,6936,7134,7890,8981,8714,9119,9086,8365,7397,7217,6787,6111,4654,3340,2402,1864,2031
311950,626,621,718,779,838,753,765,630,560,535,534,499,372,289,244,210,276
311960,160,168,192,227,238,233,222,232,194,243,238,195,151,124,94,65,89
311970,222,236,224,242,273,226,245,282,239,228,258,184,147,143,95,81,78
311980,162,172,235,223,216,215,214,207,247,231,261,222,189,175,147,95,106
311990,174,188,198,228,254,269,198,263,245,274,275,266,242,229,166,133,143
311995,335,342,440,471,501,469,548,536,458,450,421,319,277,191,149,128,112
312000,209,214,225,204,232,222,214,216,183,187,204,170,145,118,67,54,84
312010,305,307,306,387,416,350,302,301,288,284,263,219,175,139,111,92,110
312015,555,494,546,611,627,502,480,449,385,383,308,262,199,208,164,153,144
312020,837,857,882,959,916,1053,1026,946,838,746,719,636,544,418,321,259,281
312030,570,531,649,677,628,560,454,353,316,282,229,186,150,123,82,55,81
312040,356,359,432,434,442,389,398,445,321,348,303,254,211,161,105,90,80
312050,604,624,694,802,828,827,738,745,751,758,717,581,460,404,306,213,257
312060,283,298,342,369,348,326,387,350,366,395,338,291,249,196,145,119,151
312070,319,316,324,359,349,307,284,265,305,287,239,188,166,120,90,76,94
312080,858,861,1060,1298,1348,1132,1082,956,1039,1106,1035,935,719,575,437,358,379
312083,368,378,374,405,400,383,362,344,338,322,298,256,197,162,108,88,107
