"";"COD_Microrregiao_Geografica";"Nome_Microrregiao";"Trienio";"Categoria_Adequacao";"Pop";"Tot";"Prop"
"71";"31004";"Janauba";"2015_2017";"Categoria 2 ou Intermediária (C2)";270817;643952;0,420554637612741
"72";"31004";"Janauba";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"73";"31005";"Salinas";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"74";"31005";"Salinas";"2000_2002";"Categoria 2 ou Intermediária (C2)";268022;1053598;0,254387346976741
"75";"31005";"Salinas";"2000_2002";"Categoria 3 ou Inadequada (C3)";785576;1053598;0,745612653023259
"76";"31005";"Salinas";"2003_2005";"Categoria 1 ou Adequada (C1)";27847;1084776;0,0256707375531907
"77";"31005";"Salinas";"2003_2005";"Categoria 2 ou Intermediária (C2)";925479;1084776;0,853152171508219
"78";"31005";"Salinas";"2003_2005";"Categoria 3 ou Inadequada (C3)";131450;1084776;0,12117709093859
"79";"31005";"Salinas";"2006_2008";"Categoria 1 ou Adequada (C1)";NA;NA;0
"80";"31005";"Salinas";"2006_2008";"Categoria 2 ou Intermediária (C2)";1074308;1117710;0,961168818387596
"81";"31005";"Salinas";"2006_2008";"Categoria 3 ou Inadequada (C3)";43402;1117710;0,0388311816124039
"82";"31005";"Salinas";"2009_2011";"Categoria 1 ou Adequada (C1)";160317;1141263;0,140473317719053
"83";"31005";"Salinas";"2009_2011";"Categoria 2 ou Intermediária (C2)";942074;1141263;0,825466172126845
"84";"31005";"Salinas";"2009_2011";"Categoria 3 ou Inadequada (C3)";38872;1141263;0,0340605101541012
"85";"31005";"Salinas";"2012_2014";"Categoria 1 ou Adequada (C1)";235051;1126524;0,20865156889689
"86";"31005";"Salinas";"2012_2014";"Categoria 2 ou Intermediária (C2)";891473;1126524;0,79134843110311
"87";"31005";"Salinas";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"88";"31005";"Salinas";"2015_2017";"Categoria 1 ou Adequada (C1)";252872;1175494;0,215119770921842
"89";"31005";"Salinas";"2015_2017";"Categoria 2 ou Intermediária (C2)";900458;1175494;0,766025177499843
"90";"31005";"Salinas";"2015_2017";"Categoria 3 ou Inadequada (C3)";22164;1175494;0,0188550515783152
"91";"31006";"Pirapora";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"92";"31006";"Pirapora";"2000_2002";"Categoria 2 ou Intermediária (C2)";463621;523466;0,885675478445591
"93";"31006";"Pirapora";"2000_2002";"Categoria 3 ou Inadequada (C3)";59845;523466;0,114324521554409
"94";"31006";"Pirapora";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"95";"31006";"Pirapora";"2003_2005";"Categoria 2 ou Intermediária (C2)";501294;538335;0,931193401878013
"96";"31006";"Pirapora";"2003_2005";"Categoria 3 ou Inadequada (C3)";37041;538335;0,0688065981219872
"97";"31006";"Pirapora";"2006_2008";"Categoria 1 ou Adequada (C1)";NA;NA;0
"98";"31006";"Pirapora";"2006_2008";"Categoria 2 ou Intermediária (C2)";526386;550866;0,955560880504515
"99";"31006";"Pirapora";"2006_2008";"Categoria 3 ou Inadequada (C3)";24480;550866;0,0444391194954853
"100";"31006";"Pirapora";"2009_2011";"Categoria 1 ou Adequada (C1)";31664;562122;0,0563294089183487
"101";"31006";"Pirapora";"2009_2011";"Categoria 2 ou Intermediária (C2)";530458;562122;0,943670591081651
